,competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,main color,has blue,has red
34,Mike & Ike,0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,46.411716,green,1,1
35,Milk Duds,1,0,1,0,0,0,0,0,1,0.30199999,0.51099998,55.064072,yellow,0,1
36,Milky Way,1,0,1,0,1,0,0,1,0,0.60399997,0.65100002,73.099556,blue,1,1
37,Milky Way Midnight,1,0,1,0,1,0,0,1,0,0.73199999,0.44100001,60.800701,black,0,0
38,Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,0.96499997,0.86000001,64.35334,yellow,0,0
39,Mounds,1,0,0,0,0,0,0,1,0,0.31299999,0.86000001,47.829754,red,0,1
40,Mr Good Bar,1,0,0,1,0,0,0,1,0,0.31299999,0.91799998,54.526451,yellow,0,1
41,Nerds,0,1,0,0,0,0,1,0,1,0.84799999,0.32499999,55.354046,purple,1,1
42,Nestle Butterfinger,1,0,0,1,0,0,0,1,0,0.60399997,0.76700002,70.735641,yellow,1,0
43,Nestle Crunch,1,0,0,0,0,1,0,1,0,0.31299999,0.76700002,66.47068,blue,1,1
44,Nik L Nip,0,1,0,0,0,0,0,0,1,0.197,0.97600001,22.445341,purple,0,1
45,Now & Later,0,1,0,0,0,0,0,0,1,0.22,0.32499999,39.4468,yellow,0,0
46,Payday,0,0,0,1,1,0,0,1,0,0.465,0.76700002,46.296597,white,1,1
47,Peanut M&Ms,1,0,0,1,0,0,0,0,1,0.59299999,0.65100002,69.483788,yellow,0,1
48,Pixie Sticks,0,0,0,0,0,0,0,0,1,0.093000002,0.023,37.722336,pink,1,1
49,Pop Rocks,0,1,0,0,0,0,1,0,1,0.60399997,0.83700001,41.265511,any,1,1
50,Red vines,0,1,0,0,0,0,0,0,1,0.58099997,0.116,37.348522,blue,1,1
51,Reese's Miniatures,1,0,0,1,0,0,0,0,0,0.034000002,0.27900001,81.866257,red,0,1
52,Reese's Peanut Butter cup,1,0,0,1,0,0,0,0,0,0.72000003,0.65100002,84.18029,red,0,1
53,Reese's pieces,1,0,0,1,0,0,0,0,1,0.40599999,0.65100002,73.43499,red,0,1
54,Reese's stuffed with pieces,1,0,0,1,0,0,0,0,0,0.98799998,0.65100002,72.887901,red,0,1
55,Ring pop,0,1,0,0,0,0,1,0,1,0.73199999,0.96499997,35.290756,any,1,1
56,Rolo,1,0,1,0,0,0,0,0,1,0.86000001,0.86000001,65.716286,brown,0,1
57,Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73199999,0.068999998,29.703691,purple,1,0
58,Runts,0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,42.849144,orange,1,1
59,Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.081,34.722,yellow,1,1
60,Skittles original,0,1,0,0,0,0,0,0,1,0.94099998,0.22,63.08514,red,0,1
61,Skittles wildberry,0,1,0,0,0,0,0,0,1,0.94099998,0.22,55.103695,purple,0,0
62,Nestle Smarties,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001,37.887188,blue,1,1
63,Smarties candy,0,1,0,0,0,0,1,0,1,0.26699999,0.116,45.995827,blue,1,1
64,Snickers,1,0,1,1,1,0,0,1,0,0.546,0.65100002,76.673782,brown,1,1
65,Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002,59.529251,blue,1,1
66,Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.068999998,0.116,59.863998,yellow,1,1
67,Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.068999998,0.116,52.825947,yellow,1,1
68,Starburst,0,1,0,0,0,0,0,0,1,0.15099999,0.22,67.037628,yellow,0,1
69,Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,34.578991,red,0,1
70,Sugar Babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,33.43755,yellow,0,1
71,Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,32.230995,yellow,0,1
72,Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.116,27.303865,any,1,1
73,Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755,54.861111,yellow,1,1
74,Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,48.982651,any,1,1
75,Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,43.068897,black,0,1
76,Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.011,45.736748,brown,0,1
77,Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999,49.653503,brown,0,1
78,Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255,47.173229,blue,1,1
79,Twix,1,0,1,0,0,1,0,1,0,0.546,0.90600002,81.642914,golden,0,1
80,Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.116,45.466282,red,0,1
81,Warheads,0,1,0,0,0,0,1,0,0,0.093000002,0.116,39.011898,green,0,0
82,Welch's Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,44.375519,blue,1,1
83,Werther's Original Caramel,0,0,1,0,0,0,1,0,0,0.186,0.26699999,41.904308,golden,0,1
84,Whoppers,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,49.524113,white,0,1
